time_s,hz,midi,note,delta_st,kind
0.882358,79.1413,39.3000,D#2,0.0000,start
3.552653,99.1376,43.2000,G2,3.9000,change
5.038730,108.7365,44.8000,A2,1.6000,change
6.594467,74.2692,38.2000,D2,-6.6000,change
8.661043,110.6372,45.1000,A2,6.9000,change
10.634739,99.1376,43.2000,G2,-1.9000,change
10.936599,124.1861,47.1000,B2,3.9000,change
12.074376,98.5666,43.1000,G2,-4.0000,change
12.213696,78.6855,39.2000,D#2,-3.9000,change
13.096054,165.7685,52.1000,E3,12.9000,change
13.421134,195.9977,55.0000,G3,2.9000,change
14.512472,98.5666,43.1000,G2,-11.9000,change
14.837551,111.9228,45.3000,A2,2.2000,change
14.976871,98.5666,43.1000,G2,-2.2000,change
16.253968,83.3644,40.2000,E2,-2.9000,change
16.486168,98.5666,43.1000,G2,2.9000,change
17.020227,65.4064,36.0000,C2,-7.1000,change
17.159546,82.8843,40.1000,E2,4.1000,change
17.322086,98.5666,43.1000,G2,3.0000,change
17.902585,108.7365,44.8000,A2,1.7000,change
18.065125,99.1376,43.2000,G2,-1.6000,change
18.204444,108.7365,44.8000,A2,1.6000,change
19.411882,118.5780,46.3000,A#2,1.5000,change
19.667302,108.7365,44.8000,A2,-1.5000,change
19.806621,97.9989,43.0000,G2,-1.8000,change
20.480000,110.0000,45.0000,A2,2.0000,change
20.619320,97.9989,43.0000,G2,-2.0000,change
20.758639,112.5711,45.4000,A2,2.4000,change
21.292698,98.5666,43.1000,G2,-2.3000,change
21.432018,117.2161,46.1000,A#2,3.0000,change
22.662676,218.7329,56.9000,A3,10.8000,change
22.848435,286.9575,61.6000,D4,4.7000,change
23.312834,257.1310,59.7000,C4,-1.9000,change
23.452154,145.9867,49.9000,D3,-9.8000,change
24.241633,97.9989,43.0000,G2,-6.9000,change
24.380952,79.1413,39.3000,D#2,-3.7000,change
25.495510,275.5862,60.9000,C#4,21.6000,change
26.006349,137.7931,48.9000,C#3,-12.0000,change
26.145669,110.6372,45.1000,A2,-3.8000,change
26.284989,99.7118,43.3000,G2,-1.8000,change
26.424308,163.8645,51.9000,E3,8.6000,change
26.586848,111.2781,45.2000,A2,-6.7000,change
27.028027,97.4344,42.9000,G2,-2.3000,change
27.724626,124.9055,47.2000,B2,4.3000,change
28.003265,136.9995,48.8000,C#3,1.6000,change
28.189025,218.7329,56.9000,A3,8.1000,change
28.398005,246.9417,59.0000,B3,2.1000,change
28.537324,291.9734,61.9000,D4,2.9000,change
28.676644,329.6276,64.0000,E4,2.1000,change
28.885624,149.3990,50.3000,D3,-13.7000,change
29.071383,163.8645,51.9000,E3,1.6000,change
29.628662,74.6995,38.3000,D2,-13.6000,change
30.859320,124.9055,47.2000,B2,8.9000,change
30.998639,285.3047,61.5000,D4,14.3000,change
31.230839,327.7290,63.9000,E4,2.4000,change
31.416599,298.7979,62.3000,D4,-1.6000,change
31.579138,125.6291,47.3000,B2,-15.0000,change
31.857778,182.8723,53.8000,F#3,6.5000,change
32.740136,110.6372,45.1000,A2,-8.7000,change
33.970794,327.7290,63.9000,E4,18.8000,change
34.133333,361.5437,65.6000,F#4,1.7000,change
34.342313,183.9317,53.9000,F#3,-11.7000,change
34.690612,156.4647,51.1000,D#3,-2.8000,change
34.829932,82.8843,40.1000,E2,-11.0000,change
35.038912,248.3722,59.1000,B3,19.0000,change
35.480091,80.0609,39.5000,E2,-19.6000,change
37.105488,122.7597,46.9000,B2,7.4000,change
37.244807,137.7931,48.9000,C#3,2.0000,change
38.521905,97.9989,43.0000,G2,-5.9000,change
38.916644,82.4069,40.0000,E2,-3.0000,change
39.590023,166.7288,52.2000,E3,12.2000,change
39.799002,182.8723,53.8000,F#3,1.6000,change
39.961542,93.0344,42.1000,F#2,-11.7000,change
40.751020,74.6995,38.3000,D2,-3.8000,change
40.936780,92.4986,42.0000,F#2,3.7000,change
41.099320,122.0526,46.8000,B2,4.8000,change
42.051338,372.1378,66.1000,F#4,19.3000,change
42.794376,106.8685,44.5000,G#2,-21.6000,change
43.258776,116.5409,46.0000,A#2,1.5000,change
44.094694,130.8128,48.0000,C3,2.0000,change
44.234014,432.4411,68.7000,A4,20.7000,change
44.442993,391.9954,67.0000,G4,-1.7000,change
44.605533,351.2513,65.1000,F4,-1.9000,change
45.534331,197.1331,55.1000,G3,-10.0000,change
45.859410,130.0594,47.9000,C3,-7.2000,change
46.161270,141.8307,49.4000,C#3,1.5000,change
46.532789,97.9989,43.0000,G2,-6.4000,change
46.904308,401.1579,67.4000,G4,24.4000,change
47.856327,335.3893,64.3000,E4,-3.1000,change
48.134966,372.1378,66.1000,F#4,1.8000,change
48.460045,99.7118,43.3000,G2,-22.8000,change
48.669025,86.3043,40.8000,F2,-2.5000,change
49.412063,314.7421,63.2000,D#4,22.4000,change
49.551383,361.5437,65.6000,F#4,2.4000,change
50.526621,394.2662,67.1000,G4,1.5000,change
50.782041,429.9504,68.6000,A4,1.5000,change
51.083900,89.3478,41.4000,F2,-27.2000,change
51.803719,75.1322,38.4000,D2,-3.0000,change
52.128798,92.4986,42.0000,F#2,3.6000,change
52.918277,322.0989,63.6000,E4,21.6000,change
53.057596,367.8634,65.9000,F#4,2.3000,change
53.429116,440.0000,69.0000,A4,3.1000,change
53.591655,479.8234,70.5000,A#4,1.5000,change
53.893515,134.6459,48.5000,C3,-22.0000,change
54.172154,157.3711,51.2000,D#3,2.7000,change
54.311474,184.9972,54.0000,F#3,2.8000,change
54.729433,122.7597,46.9000,B2,-7.1000,change
54.868753,111.2781,45.2000,A2,-1.7000,change
55.356372,167.6947,52.3000,E3,7.1000,change
